时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-05-03 00:00:00,-44.4,-152.7,-107.9,3,0.0
2026-05-03 00:05:00,-45.0,-51.3,-6.4,4,0.0
2026-05-03 00:10:00,-45.0,-314.7,-269.6,6,0.0
2026-05-03 00:15:00,-45.1,-384.6,-339.7,7,0.0
2026-05-03 00:20:00,-44.9,-311.1,-266.1,8,0.0
2026-05-03 00:25:00,-44.8,-484.8,-440.0,10,0.0
2026-05-03 00:30:00,-45.0,-408.6,-363.6,11,0.0
2026-05-03 00:35:00,-44.8,-345.6,-300.7,12,0.0
2026-05-03 00:40:00,-45.0,-252.0,-207.0,14,0.0
2026-05-03 00:45:00,-45.0,-209.1,-164.3,15,0.0
2026-05-03 00:50:00,-44.9,-146.1,-101.2,16,0.0
2026-05-03 00:55:00,-44.9,-116.4,-71.5,18,0.0
2026-05-03 01:00:00,-44.9,-84.9,-39.9,19,0.0
2026-05-03 01:05:00,-45.0,-81.9,-37.1,20,0.0
2026-05-03 01:10:00,-45.1,-78.6,-33.5,22,0.0
2026-05-03 01:15:00,-44.8,-176.4,-131.6,23,0.0
2026-05-03 01:20:00,-44.8,-170.1,-125.1,24,0.0
2026-05-03 01:25:00,-44.9,-163.2,-118.2,26,0.0
2026-05-03 01:30:00,-44.8,-177.6,-132.5,27,0.0
2026-05-03 01:35:00,-44.8,-163.5,-118.7,28,0.0
2026-05-03 01:40:00,-44.9,-133.8,-88.9,29,0.0
2026-05-03 01:45:00,-45.0,-129.3,-84.3,30,0.0
2026-05-03 01:50:00,-44.9,-72.3,-27.4,32,0.0
2026-05-03 01:55:00,-44.9,-70.2,-25.3,33,0.0
2026-05-03 02:00:00,-45.0,-141.0,-96.2,34,0.0
2026-05-03 02:05:00,-45.0,-126.6,-81.8,35,0.0
2026-05-03 02:10:00,-45.0,-127.8,-82.8,36,0.0
2026-05-03 02:15:00,-44.9,-128.7,-83.7,38,0.0
2026-05-03 02:20:00,-44.9,-129.6,-84.6,39,0.0
2026-05-03 02:25:00,-45.0,-128.7,-83.7,40,0.0
2026-05-03 02:30:00,-44.9,-114.6,-69.7,41,0.0
2026-05-03 02:35:00,-45.0,-167.4,-122.4,42,0.0
2026-05-03 02:40:00,-45.0,-204.9,-160.0,44,0.0
2026-05-03 02:45:00,-44.8,-207.3,-162.3,45,0.0
2026-05-03 02:50:00,-45.0,-168.6,-123.6,46,0.0
2026-05-03 02:55:00,-45.0,-128.7,-83.9,47,0.0
2026-05-03 03:00:00,-45.0,-129.0,-84.1,48,0.0
2026-05-03 03:05:00,-44.7,-121.8,-76.9,50,0.0
2026-05-03 03:10:00,-44.8,-123.3,-78.5,51,0.0
2026-05-03 03:15:00,-44.9,-232.2,-187.3,52,0.0
