时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-07-06 00:00:00,-90.1,-141.9,-141.9,3,0.0
2026-07-06 00:05:00,-89.7,-400.5,-310.8,4,0.0
2026-07-06 00:10:00,-89.7,-369.9,-280.1,6,0.0
2026-07-06 00:15:00,-89.7,-576.3,-486.6,7,0.0
2026-07-06 00:20:00,-89.9,-527.7,-437.9,8,0.0
2026-07-06 00:25:00,-89.8,-447.6,-357.9,10,0.0
2026-07-06 00:30:00,-89.7,-437.1,-347.4,11,0.0
2026-07-06 00:35:00,-89.8,-335.4,-245.4,13,0.0
2026-07-06 00:40:00,-89.9,-218.4,-128.8,14,0.0
2026-07-06 00:45:00,-89.6,-178.8,-89.1,15,0.0
2026-07-06 00:50:00,-89.6,-151.8,-62.3,17,0.0
2026-07-06 00:55:00,-89.8,-139.2,-49.3,18,0.0
2026-07-06 01:00:00,-89.7,-105.6,-16.0,19,0.0
2026-07-06 01:05:00,-89.9,-105.9,-16.2,21,0.0
2026-07-06 01:10:00,-89.6,-109.5,-19.9,22,0.0
2026-07-06 01:15:00,-89.7,-99.9,-10.4,24,0.0
2026-07-06 01:20:00,-89.6,-99.6,-10.0,25,0.0
2026-07-06 01:25:00,-89.6,-175.5,-85.8,26,0.0
2026-07-06 01:30:00,-89.7,-162.0,-72.2,28,0.0
2026-07-06 01:35:00,-89.8,-147.6,-57.8,29,0.0
2026-07-06 01:40:00,-89.6,-99.9,-10.4,30,0.0
2026-07-06 01:45:00,-89.6,-99.0,-9.4,32,0.0
2026-07-06 01:50:00,-89.5,-101.4,-11.9,33,0.0
2026-07-06 01:55:00,-89.5,-145.2,-55.5,34,0.0
2026-07-06 02:00:00,-89.6,-144.9,-55.3,36,0.0
2026-07-06 02:05:00,-89.7,-144.3,-54.9,37,0.0
2026-07-06 02:10:00,-89.7,-144.9,-55.2,38,0.0
2026-07-06 02:15:00,-89.8,-132.3,-42.5,40,0.0
2026-07-06 02:20:00,-89.6,-99.0,-9.3,41,0.0
2026-07-06 02:25:00,-89.7,-99.0,-9.3,42,0.0
2026-07-06 02:30:00,-89.7,-235.2,-145.5,44,0.0
2026-07-06 02:35:00,-89.6,-269.4,-179.9,45,0.0
2026-07-06 02:40:00,-89.7,-235.5,-145.9,46,0.0
2026-07-06 02:45:00,-89.6,-228.9,-139.3,48,0.0
2026-07-06 02:50:00,-89.6,-200.7,-111.0,49,0.0
2026-07-06 02:55:00,-89.6,-135.6,-45.9,50,0.0
2026-07-06 03:00:00,-89.4,-129.9,-40.3,52,0.0
2026-07-06 03:05:00,-89.7,-198.6,-108.9,53,0.0
2026-07-06 03:10:00,-89.8,-329.1,-239.3,54,0.0
2026-07-06 03:15:00,-89.8,-285.6,-195.6,56,0.0
