时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-04-16 00:00:00,-44.7,-202.8,-164.6,3,0.0
2026-04-16 00:05:00,-44.8,-322.5,-277.6,4,0.0
2026-04-16 00:10:00,-44.9,-500.7,-455.7,6,0.0
2026-04-16 00:15:00,-44.9,-450.6,-405.6,7,0.0
2026-04-16 00:20:00,-44.8,-433.8,-388.8,8,0.0
2026-04-16 00:25:00,-45.0,-324.3,-279.5,10,0.0
2026-04-16 00:30:00,-44.9,-268.5,-223.7,11,0.0
2026-04-16 00:35:00,-44.9,-265.2,-220.2,12,0.0
2026-04-16 00:40:00,-44.9,-249.9,-205.0,14,0.0
2026-04-16 00:45:00,-44.9,-348.3,-303.5,15,0.0
2026-04-16 00:50:00,-45.0,-374.4,-329.4,16,0.0
2026-04-16 00:55:00,-45.0,-342.0,-297.0,18,0.0
2026-04-16 01:00:00,-45.0,-180.9,-135.8,19,0.0
2026-04-16 01:05:00,-44.9,-184.5,-139.6,20,0.0
2026-04-16 01:10:00,-44.9,-124.8,-79.8,21,0.0
2026-04-16 01:15:00,-44.9,-84.0,-39.0,22,0.0
2026-04-16 01:20:00,-44.9,-88.2,-43.2,24,0.0
2026-04-16 01:25:00,-45.0,-85.8,-40.8,25,0.0
2026-04-16 01:30:00,-44.9,-85.8,-40.9,26,0.0
2026-04-16 01:35:00,-45.1,-199.8,-154.9,27,0.0
2026-04-16 01:40:00,-44.8,-216.3,-171.3,28,0.0
2026-04-16 01:45:00,-45.1,-167.7,-122.6,30,0.0
2026-04-16 01:50:00,-45.1,-154.2,-109.1,31,0.0
2026-04-16 01:55:00,-44.8,-131.4,-86.5,32,0.0
2026-04-16 02:00:00,-45.0,-270.6,-225.6,33,0.0
2026-04-16 02:05:00,-45.0,-221.1,-176.1,34,0.0
2026-04-16 02:10:00,-45.0,-95.7,-50.6,36,0.0
2026-04-16 02:15:00,-45.0,-61.5,-16.5,37,0.0
2026-04-16 02:20:00,-44.9,-137.4,-92.5,38,0.0
2026-04-16 02:25:00,-44.9,-129.0,-84.1,39,0.0
2026-04-16 02:30:00,-44.8,-110.4,-65.5,40,0.0
2026-04-16 02:35:00,-45.0,-119.7,-74.7,42,0.0
2026-04-16 02:40:00,-45.0,-179.1,-134.3,43,0.0
2026-04-16 02:45:00,-44.9,-175.5,-130.6,44,0.0
2026-04-16 02:50:00,-44.9,-138.9,-93.9,45,0.0
2026-04-16 02:55:00,-44.8,-124.5,-79.6,46,0.0
2026-04-16 03:00:00,-44.8,-154.5,-109.7,48,0.0
2026-04-16 03:05:00,-44.9,-130.2,-85.4,49,0.0
2026-04-16 03:10:00,-45.1,-128.4,-83.3,50,0.0
2026-04-16 03:15:00,-45.0,-193.8,-148.8,51,0.0
