时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-05-08 00:00:00,-44.1,-204.6,-204.6,3,0.0
2026-05-08 00:05:00,-45.1,-556.2,-511.1,4,0.0
2026-05-08 00:10:00,-44.9,-513.3,-468.4,6,0.0
2026-05-08 00:15:00,-44.8,-450.3,-405.3,7,0.0
2026-05-08 00:20:00,-45.0,-444.0,-399.0,8,0.0
2026-05-08 00:25:00,-45.0,-383.1,-338.2,10,0.0
2026-05-08 00:30:00,-44.9,-320.1,-275.2,11,0.0
2026-05-08 00:35:00,-45.0,-277.5,-232.6,12,0.0
2026-05-08 00:40:00,-45.0,-284.1,-239.3,14,0.0
2026-05-08 00:45:00,-44.9,-185.4,-140.5,15,0.0
2026-05-08 00:50:00,-45.0,-142.2,-97.2,16,0.0
2026-05-08 00:55:00,-44.9,-130.8,-85.9,18,0.0
2026-05-08 01:00:00,-45.0,-125.1,-80.1,19,0.0
2026-05-08 01:05:00,-45.0,-92.1,-47.2,20,0.0
2026-05-08 01:10:00,-45.0,-61.8,-16.8,22,0.0
2026-05-08 01:15:00,-45.0,-105.3,-60.3,23,0.0
2026-05-08 01:20:00,-45.0,-92.4,-47.4,24,0.0
2026-05-08 01:25:00,-44.9,-92.1,-47.2,25,0.0
2026-05-08 01:30:00,-45.0,-90.0,-45.0,26,0.0
2026-05-08 01:35:00,-45.0,-94.5,-49.6,28,0.0
2026-05-08 01:40:00,-45.0,-51.0,-6.1,29,0.0
2026-05-08 01:45:00,-45.0,-49.8,-4.9,30,0.0
2026-05-08 01:50:00,-45.0,-51.6,-6.6,31,0.0
2026-05-08 01:55:00,-44.9,-50.1,-5.3,32,0.0
2026-05-08 02:00:00,-45.0,-69.3,-24.3,34,0.0
2026-05-08 02:05:00,-44.8,-69.6,-24.8,35,0.0
2026-05-08 02:10:00,-44.9,-277.5,-232.4,36,0.0
2026-05-08 02:15:00,-45.0,-265.5,-220.5,37,0.0
2026-05-08 02:20:00,-45.0,-253.5,-208.5,38,0.0
2026-05-08 02:25:00,-45.0,-549.3,-504.4,40,0.0
2026-05-08 02:30:00,-44.8,-268.2,-223.2,41,0.0
2026-05-08 02:35:00,-45.0,-283.2,-238.2,42,0.0
2026-05-08 02:40:00,-44.9,-275.7,-230.6,43,0.0
2026-05-08 02:45:00,-45.1,-238.8,-194.0,44,0.0
2026-05-08 02:50:00,-44.8,-210.0,-165.2,46,0.0
2026-05-08 02:55:00,-45.0,-168.9,-123.9,47,0.0
2026-05-08 03:00:00,-45.1,-150.6,-105.5,48,0.0
2026-05-08 03:05:00,-45.0,-104.7,-59.7,49,0.0
2026-05-08 03:10:00,-45.0,-84.9,-40.0,50,0.0
2026-05-08 03:15:00,-44.9,-64.5,-19.5,52,0.0
2026-05-08 03:20:00,-45.0,-165.9,-120.9,53,0.0
2026-05-08 03:25:00,-44.9,-161.4,-116.5,54,0.0
2026-05-08 03:30:00,-45.0,-122.7,-77.7,55,0.0
2026-05-08 03:35:00,-44.9,-105.3,-60.4,56,0.0
