时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-04-27 00:00:00,-44.9,-50.4,-5.5,3,0.0
2026-04-27 00:05:00,-45.0,-159.9,-114.9,4,0.0
2026-04-27 00:10:00,-44.9,-264.9,-219.8,6,0.0
2026-04-27 00:15:00,-44.9,-256.5,-211.5,7,0.0
2026-04-27 00:20:00,-44.8,-299.7,-254.9,8,0.0
2026-04-27 00:25:00,-45.0,-313.5,-268.6,10,0.0
2026-04-27 00:30:00,-45.0,-293.1,-248.2,11,0.0
2026-04-27 00:35:00,-45.0,-262.8,-217.9,12,0.0
2026-04-27 00:40:00,-45.0,-239.4,-194.4,14,0.0
2026-04-27 00:45:00,-45.0,-239.1,-194.1,15,0.0
2026-04-27 00:50:00,-45.0,-191.1,-146.0,16,0.0
2026-04-27 00:55:00,-45.0,-145.5,-100.6,18,0.0
2026-04-27 01:00:00,-44.9,-125.1,-80.1,19,0.0
2026-04-27 01:05:00,-44.9,-112.8,-67.9,20,0.0
2026-04-27 01:10:00,-44.9,-280.5,-235.6,21,0.0
2026-04-27 01:15:00,-45.0,-242.7,-197.7,22,0.0
2026-04-27 01:20:00,-44.8,-177.0,-131.9,24,0.0
2026-04-27 01:25:00,-44.9,-123.6,-78.6,25,0.0
2026-04-27 01:30:00,-45.0,-91.2,-46.4,26,0.0
2026-04-27 01:35:00,-45.0,-76.2,-31.2,27,0.0
2026-04-27 01:40:00,-44.9,-69.0,-24.0,28,0.0
2026-04-27 01:45:00,-45.0,-69.0,-24.0,30,0.0
2026-04-27 01:50:00,-44.9,-68.4,-23.5,31,0.0
2026-04-27 01:55:00,-44.9,-73.2,-28.2,32,0.0
2026-04-27 02:00:00,-44.9,-68.4,-23.5,33,0.0
2026-04-27 02:05:00,-44.9,-69.0,-24.1,34,0.0
2026-04-27 02:10:00,-45.0,-69.0,-23.9,36,0.0
2026-04-27 02:15:00,-45.0,-92.1,-47.1,37,0.0
2026-04-27 02:20:00,-44.9,-81.0,-36.2,38,0.0
2026-04-27 02:25:00,-44.9,-73.5,-28.6,39,0.0
2026-04-27 02:30:00,-45.0,-185.7,-140.8,40,0.0
2026-04-27 02:35:00,-44.9,-185.1,-140.1,42,0.0
2026-04-27 02:40:00,-44.9,-186.3,-141.4,43,0.0
2026-04-27 02:45:00,-45.0,-246.9,-201.9,44,0.0
2026-04-27 02:50:00,-44.9,-231.3,-186.4,45,0.0
2026-04-27 02:55:00,-44.9,-475.5,-430.4,46,0.0
2026-04-27 03:00:00,-45.0,-390.3,-345.3,48,0.0
2026-04-27 03:05:00,-44.9,-449.7,-404.6,49,0.0
2026-04-27 03:10:00,-45.1,-414.0,-369.0,50,0.0
2026-04-27 03:15:00,-45.0,-362.4,-317.3,51,0.0
2026-04-27 03:20:00,-44.9,-292.5,-247.6,52,0.0
2026-04-27 03:25:00,-44.9,-243.6,-198.6,54,0.0
2026-04-27 03:30:00,-45.0,-330.0,-285.0,55,0.0
2026-04-27 03:35:00,-45.0,-287.4,-242.4,56,0.0
2026-04-27 03:40:00,-44.9,-207.6,-162.5,57,0.0
2026-04-27 03:45:00,-44.9,-167.7,-122.7,58,0.0
2026-04-27 03:50:00,-45.0,-133.2,-88.3,60,0.0
2026-04-27 03:55:00,-45.0,-125.7,-80.9,61,0.0
2026-04-27 04:00:00,-45.0,-145.2,-100.2,62,0.0
2026-04-27 04:05:00,-45.0,-136.2,-91.3,63,0.0
2026-04-27 04:10:00,-45.1,-137.4,-92.3,64,0.0
2026-04-27 04:15:00,-45.1,-99.6,-54.8,66,0.0
2026-04-27 04:20:00,-45.0,-90.3,-45.4,67,0.0
2026-04-27 04:25:00,-45.0,-60.9,-15.9,68,0.0
2026-04-27 04:30:00,-45.0,-51.0,-6.0,69,0.0
2026-04-27 04:35:00,-44.9,-51.9,-7.1,70,0.0
2026-04-27 04:40:00,-45.0,-125.7,-80.7,72,0.0
2026-04-27 04:45:00,-44.9,-123.0,-78.1,73,0.0
2026-04-27 04:50:00,-45.0,-118.5,-73.6,74,0.0
2026-04-27 04:55:00,-45.0,-120.3,-75.2,75,0.0
2026-04-27 05:00:00,-44.9,-119.1,-74.1,76,0.0
2026-04-27 05:05:00,-45.0,-104.1,-59.2,78,0.0
2026-04-27 05:10:00,-44.8,-105.0,-60.1,79,0.0
2026-04-27 05:15:00,-45.0,-97.5,-52.6,80,0.0
2026-04-27 05:20:00,-45.1,-98.1,-53.1,81,0.0
2026-04-27 05:25:00,-44.9,-91.8,-46.8,82,0.0
2026-04-27 05:30:00,-45.1,-92.7,-47.7,84,0.0
2026-04-27 05:35:00,-44.9,-63.6,-18.7,85,0.0
2026-04-27 05:40:00,-44.9,-64.5,-19.6,86,0.0
2026-04-27 05:45:00,-45.0,-50.4,-5.4,87,0.0
2026-04-27 05:50:00,-44.9,-102.9,-58.0,88,2.451
2026-04-27 05:55:00,-45.0,-94.8,-49.9,90,4.015
2026-04-27 06:00:00,-44.9,-81.6,-36.6,91,5.487
2026-04-27 06:05:00,-44.9,-105.9,-61.0,92,7.539
2026-04-27 06:10:00,-44.9,-95.1,-50.1,93,10.776
2026-04-27 06:15:00,0.0,-71.1,-71.1,98,14.889
2026-04-27 06:20:00,0.0,-41.4,-41.4,98,20.502
2026-04-27 06:25:00,0.0,-30.3,-30.3,98,27.162
2026-04-27 06:30:00,0.0,-130.8,-130.8,98,35.679
2026-04-27 06:35:00,0.0,-392.7,-392.7,98,42.941
2026-04-27 06:40:00,0.0,-226.8,-226.8,98,51.042
2026-04-27 06:45:00,0.0,-277.8,-277.8,98,56.827
2026-04-27 06:50:00,0.0,-225.9,-225.9,98,53.526
2026-04-27 06:55:00,0.0,-203.1,-203.1,98,44.087
