时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-07-05 00:00:00,-40.4,-16.8,-16.8,3,0.0
2026-07-05 00:05:00,-89.8,-537.3,-447.7,4,0.0
2026-07-05 00:10:00,-89.7,-605.1,-515.4,6,0.0
2026-07-05 00:15:00,-89.7,-546.0,-456.1,7,0.0
2026-07-05 00:20:00,-89.8,-485.4,-395.7,9,0.0
2026-07-05 00:25:00,-90.0,-357.6,-267.8,10,0.0
2026-07-05 00:30:00,-89.9,-297.0,-207.3,11,0.0
2026-07-05 00:35:00,-89.8,-373.8,-283.9,13,0.0
2026-07-05 00:40:00,-89.7,-272.7,-182.8,14,0.0
2026-07-05 00:45:00,-89.7,-273.6,-183.9,15,0.0
2026-07-05 00:50:00,-89.6,-207.9,-118.2,17,0.0
2026-07-05 00:55:00,-89.8,-178.8,-89.0,18,0.0
2026-07-05 01:00:00,-89.8,-209.4,-119.6,20,0.0
2026-07-05 01:05:00,-89.9,-161.7,-72.0,21,0.0
2026-07-05 01:10:00,-89.8,-179.7,-90.0,22,0.0
2026-07-05 01:15:00,-89.9,-161.4,-71.5,24,0.0
2026-07-05 01:20:00,-89.7,-161.7,-72.0,25,0.0
2026-07-05 01:25:00,-89.8,-162.0,-72.3,26,0.0
2026-07-05 01:30:00,-89.9,-165.9,-76.2,28,0.0
2026-07-05 01:35:00,-89.8,-199.2,-109.3,29,0.0
2026-07-05 01:40:00,-90.0,-231.0,-141.5,30,0.0
2026-07-05 01:45:00,-89.7,-235.5,-145.7,32,0.0
2026-07-05 01:50:00,-89.7,-249.0,-159.2,33,0.0
2026-07-05 01:55:00,-89.8,-237.3,-147.9,34,0.0
2026-07-05 02:00:00,-89.7,-230.7,-141.1,36,0.0
2026-07-05 02:05:00,-89.5,-182.1,-92.4,37,0.0
2026-07-05 02:10:00,-89.6,-173.4,-83.9,38,0.0
2026-07-05 02:15:00,-89.4,-172.8,-83.4,40,0.0
2026-07-05 02:20:00,-89.6,-168.3,-78.7,41,0.0
2026-07-05 02:25:00,-89.7,-135.6,-45.8,42,0.0
2026-07-05 02:30:00,-89.6,-156.6,-67.1,44,0.0
2026-07-05 02:35:00,-89.8,-145.5,-55.8,45,0.0
2026-07-05 02:40:00,-89.7,-135.6,-46.0,46,0.0
2026-07-05 02:45:00,-89.8,-246.0,-156.4,48,0.0
2026-07-05 02:50:00,-89.7,-246.6,-156.8,49,0.0
2026-07-05 02:55:00,-89.5,-199.2,-109.5,50,0.0
2026-07-05 03:00:00,-89.6,-196.8,-107.3,52,0.0
2026-07-05 03:05:00,-89.6,-197.1,-107.5,53,0.0
2026-07-05 03:10:00,-89.6,-195.0,-105.6,55,0.0
2026-07-05 03:15:00,-89.8,-294.9,-205.4,56,0.0
