时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-06-08 00:00:00,-80.6,-114.6,-36.1,3,0.0
2026-06-08 00:05:00,-80.0,-501.9,-422.0,4,0.0
2026-06-08 00:10:00,-79.6,-526.8,-447.0,6,0.0
2026-06-08 00:15:00,-79.9,-527.1,-447.3,7,0.0
2026-06-08 00:20:00,-79.8,-506.4,-426.6,8,0.0
2026-06-08 00:25:00,-79.7,-425.4,-345.6,9,0.0
2026-06-08 00:30:00,-79.7,-316.2,-236.6,10,0.0
2026-06-08 00:35:00,-79.8,-208.5,-128.6,12,0.0
2026-06-08 00:40:00,-79.8,-197.1,-117.4,13,0.0
2026-06-08 00:45:00,-79.8,-179.7,-100.0,14,0.0
2026-06-08 00:50:00,-80.0,-462.6,-382.8,15,0.0
2026-06-08 00:55:00,-79.8,-465.9,-386.0,16,0.0
2026-06-08 01:00:00,-79.7,-360.3,-280.5,18,0.0
2026-06-08 01:05:00,-79.9,-238.8,-158.9,19,0.0
2026-06-08 01:10:00,-79.9,-185.7,-105.8,20,0.0
2026-06-08 01:15:00,-79.8,-134.7,-55.0,21,0.0
2026-06-08 01:20:00,-79.7,-240.0,-160.3,22,0.0
2026-06-08 01:25:00,-79.7,-319.5,-239.6,24,0.0
2026-06-08 01:30:00,-79.9,-247.8,-168.0,25,0.0
2026-06-08 01:35:00,-79.8,-242.4,-162.6,26,0.0
2026-06-08 01:40:00,-79.8,-120.9,-41.1,27,0.0
2026-06-08 01:45:00,-79.7,-120.3,-40.6,28,0.0
2026-06-08 01:50:00,-79.9,-198.3,-118.6,30,0.0
2026-06-08 01:55:00,-79.7,-204.6,-124.9,31,0.0
2026-06-08 02:00:00,-79.8,-152.1,-72.3,32,0.0
2026-06-08 02:05:00,-79.8,-131.4,-51.6,33,0.0
2026-06-08 02:10:00,-79.7,-120.6,-41.0,34,0.0
2026-06-08 02:15:00,-79.7,-110.4,-30.6,36,0.0
2026-06-08 02:20:00,-79.7,-162.3,-82.5,37,0.0
2026-06-08 02:25:00,-79.8,-130.5,-50.7,38,0.0
2026-06-08 02:30:00,-79.8,-126.3,-46.5,39,0.0
2026-06-08 02:35:00,-79.9,-124.2,-44.3,40,0.0
2026-06-08 02:40:00,-79.7,-125.4,-45.7,42,0.0
2026-06-08 02:45:00,-79.5,-118.5,-38.8,43,0.0
2026-06-08 02:50:00,-79.9,-199.8,-120.0,44,0.0
2026-06-08 02:55:00,-79.6,-238.2,-158.5,45,0.0
2026-06-08 03:00:00,-79.8,-193.2,-113.6,46,0.0
2026-06-08 03:05:00,-79.9,-146.7,-66.9,48,0.0
2026-06-08 03:10:00,-79.7,-139.2,-59.5,49,0.0
2026-06-08 03:15:00,-79.7,-236.4,-156.7,50,0.0
2026-06-08 03:20:00,-80.0,-210.6,-130.9,51,0.0
2026-06-08 03:25:00,-80.0,-208.8,-129.1,52,0.0
2026-06-08 03:30:00,-79.7,-299.1,-219.3,54,0.0
2026-06-08 03:35:00,-79.9,-287.1,-207.4,55,0.0
2026-06-08 03:40:00,-79.9,-345.6,-265.7,56,0.0
2026-06-08 03:45:00,-79.6,-316.2,-236.5,57,0.0
2026-06-08 03:50:00,-79.7,-301.2,-221.5,58,0.0
2026-06-08 03:55:00,-79.7,-242.7,-163.0,60,0.0
2026-06-08 04:00:00,-79.7,-237.0,-157.4,61,0.0
2026-06-08 04:05:00,-79.7,-317.1,-237.2,62,0.0
2026-06-08 04:10:00,-79.6,-253.2,-173.8,63,0.0
2026-06-08 04:15:00,-79.6,-176.4,-96.9,64,0.0
2026-06-08 04:20:00,-79.6,-158.1,-78.5,66,0.0
2026-06-08 04:25:00,-79.7,-114.9,-35.2,67,0.0
2026-06-08 04:30:00,-79.6,-115.5,-35.8,68,0.0
2026-06-08 04:35:00,-79.7,-119.7,-40.0,69,0.0
2026-06-08 04:40:00,-79.6,-103.5,-23.9,70,0.0
2026-06-08 04:45:00,-79.6,-101.4,-21.7,72,0.0
2026-06-08 04:50:00,-79.7,-101.4,-21.7,73,0.0
2026-06-08 04:55:00,-79.6,-99.9,-20.2,74,0.0
2026-06-08 05:00:00,-79.6,-103.8,-24.1,75,0.0
2026-06-08 05:05:00,-79.7,-99.6,-19.9,76,0.0
2026-06-08 05:10:00,-79.6,-97.2,-17.6,78,0.0
2026-06-08 05:15:00,-79.7,-95.4,-15.7,79,0.0
2026-06-08 05:20:00,-79.7,-95.4,-15.8,80,0.0
2026-06-08 05:25:00,-79.7,-234.9,-155.3,81,0.0
2026-06-08 05:30:00,-79.6,-240.6,-160.9,82,0.0
2026-06-08 05:35:00,-79.7,-230.4,-150.7,83,1.111
2026-06-08 05:40:00,-79.7,-206.7,-127.0,84,2.127
