时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-04-17 00:00:00,-44.4,-90.9,-46.5,3,0.0
2026-04-17 00:05:00,-45.0,-281.7,-236.7,4,0.011
2026-04-17 00:10:00,-44.9,-273.0,-228.1,6,0.022
2026-04-17 00:15:00,-45.0,-272.7,-227.9,7,0.032
2026-04-17 00:20:00,-44.9,-405.9,-360.9,8,0.043
2026-04-17 00:25:00,-45.0,-377.4,-332.4,10,0.054
2026-04-17 00:30:00,-45.0,-257.7,-212.9,11,0.065
2026-04-17 00:35:00,-44.8,-249.0,-204.2,12,0.076
2026-04-17 00:40:00,-44.8,-313.2,-268.3,14,0.086
2026-04-17 00:45:00,-45.0,-249.3,-204.3,15,0.097
2026-04-17 00:50:00,-44.8,-250.5,-205.7,16,0.108
2026-04-17 00:55:00,-45.0,-176.7,-131.9,18,0.119
2026-04-17 01:00:00,-45.0,-173.4,-128.5,19,0.13
2026-04-17 01:05:00,-44.9,-204.9,-159.9,20,0.14
2026-04-17 01:10:00,-44.9,-168.0,-123.1,21,0.151
2026-04-17 01:15:00,-44.9,-160.5,-115.5,22,0.162
2026-04-17 01:20:00,-44.9,-133.2,-88.3,24,0.173
2026-04-17 01:25:00,-44.9,-130.2,-85.3,25,0.184
2026-04-17 01:30:00,-45.1,-123.9,-78.9,26,0.194
2026-04-17 01:35:00,-45.0,-109.2,-64.2,27,0.205
2026-04-17 01:40:00,-44.8,-101.7,-56.8,28,0.216
2026-04-17 01:45:00,-45.0,-90.3,-45.4,30,0.227
2026-04-17 01:50:00,-44.9,-89.1,-44.1,31,0.238
2026-04-17 01:55:00,-44.9,-131.1,-86.2,32,0.248
2026-04-17 02:00:00,-44.9,-130.2,-85.2,33,0.259
2026-04-17 02:05:00,-44.9,-119.1,-74.2,34,0.27
2026-04-17 02:10:00,-45.0,-106.8,-61.9,36,0.281
2026-04-17 02:15:00,-44.9,-159.0,-114.1,37,0.292
2026-04-17 02:20:00,-45.0,-144.3,-99.3,38,0.303
2026-04-17 02:25:00,-45.0,-143.1,-98.1,39,0.313
2026-04-17 02:30:00,-44.9,-147.0,-102.0,40,0.324
2026-04-17 02:35:00,-44.8,-222.3,-177.4,42,0.335
2026-04-17 02:40:00,-44.9,-225.3,-180.4,43,0.346
