时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-05-22 00:00:00,-89.4,-112.8,-106.7,2,0.0
2026-05-22 00:05:00,-89.9,-345.6,-255.6,3,0.02
2026-05-22 00:10:00,-89.9,-344.1,-254.2,5,0.04
2026-05-22 00:15:00,-90.0,-446.7,-356.6,6,0.059
2026-05-22 00:20:00,-89.8,-444.6,-354.9,7,0.079
2026-05-22 00:25:00,-89.7,-413.1,-323.3,9,0.099
2026-05-22 00:30:00,-89.9,-396.3,-306.5,10,0.119
2026-05-22 00:35:00,-90.1,-352.8,-262.8,11,0.139
2026-05-22 00:40:00,-89.8,-262.2,-172.4,13,0.158
2026-05-22 00:45:00,-89.9,-205.5,-115.7,14,0.178
2026-05-22 00:50:00,-89.6,-164.1,-74.3,16,0.198
2026-05-22 00:55:00,-89.9,-153.0,-63.1,17,0.218
2026-05-22 01:00:00,-89.7,-148.2,-58.4,18,0.238
2026-05-22 01:05:00,-89.8,-140.7,-50.8,20,0.258
2026-05-22 01:10:00,-89.7,-122.1,-32.4,21,0.277
2026-05-22 01:15:00,-89.9,-119.4,-29.5,22,0.297
2026-05-22 01:20:00,-90.0,-211.8,-122.1,24,0.317
2026-05-22 01:25:00,-90.0,-213.0,-123.0,25,0.337
2026-05-22 01:30:00,-89.8,-213.0,-123.1,26,0.357
2026-05-22 01:35:00,-89.8,-191.1,-101.1,28,0.376
2026-05-22 01:40:00,-89.8,-135.3,-45.7,29,0.396
2026-05-22 01:45:00,-89.9,-201.3,-111.3,30,0.416
2026-05-22 01:50:00,-90.0,-226.5,-136.8,32,0.436
2026-05-22 01:55:00,-89.9,-219.6,-129.6,33,0.456
2026-05-22 02:00:00,-89.9,-192.0,-102.3,34,0.475
2026-05-22 02:05:00,-90.1,-150.9,-60.8,36,0.495
2026-05-22 02:10:00,-89.8,-150.3,-60.2,37,0.515
2026-05-22 02:15:00,-89.8,-120.9,-31.0,38,0.535
2026-05-22 02:20:00,-89.9,-120.6,-30.8,40,0.555
2026-05-22 02:25:00,-90.0,-129.0,-38.9,41,0.575
2026-05-22 02:30:00,-90.0,-131.4,-41.6,42,0.594
2026-05-22 02:35:00,-89.9,-149.1,-59.1,44,0.614
2026-05-22 02:40:00,-89.9,-224.7,-134.8,45,0.634
2026-05-22 02:45:00,-89.9,-213.9,-124.0,46,0.654
2026-05-22 02:50:00,-89.9,-261.9,-172.3,48,0.674
2026-05-22 02:55:00,-90.0,-239.1,-149.4,49,0.693
2026-05-22 03:00:00,-89.8,-223.2,-133.2,50,0.713
2026-05-22 03:05:00,-89.9,-211.8,-121.9,52,0.733
2026-05-22 03:10:00,-89.8,-153.0,-63.2,53,0.753
2026-05-22 03:15:00,-89.7,-142.5,-52.6,55,0.773
2026-05-22 03:20:00,-89.7,-140.7,-51.0,56,0.792
2026-05-22 03:25:00,-90.1,-243.3,-153.2,57,0.812
2026-05-22 03:30:00,-89.9,-203.1,-113.3,59,0.832
2026-05-22 03:35:00,-90.0,-181.8,-91.8,60,0.852
2026-05-22 03:40:00,-89.6,-118.5,-28.6,61,0.872
2026-05-22 03:45:00,-89.8,-113.4,-23.4,63,0.892
2026-05-22 03:50:00,-89.7,-109.5,-19.7,64,0.911
2026-05-22 03:55:00,-89.7,-107.4,-17.6,65,0.931
2026-05-22 04:00:00,-89.7,-109.2,-19.3,67,0.951
2026-05-22 04:05:00,-89.7,-97.8,-8.1,68,0.971
2026-05-22 04:10:00,-89.8,-97.8,-7.9,69,0.991
2026-05-22 04:15:00,-89.8,-153.6,-63.9,70,1.01
2026-05-22 04:20:00,-89.6,-149.4,-59.6,72,1.03
2026-05-22 04:25:00,-89.6,-96.3,-6.8,73,1.05
2026-05-22 04:30:00,-89.7,-98.7,-8.9,74,1.07
2026-05-22 04:35:00,-89.8,-99.0,-9.5,75,1.09
2026-05-22 04:40:00,-89.5,-102.9,-13.1,76,1.109
2026-05-22 04:45:00,-89.5,-101.1,-11.6,78,1.129
2026-05-22 04:50:00,-89.6,-99.0,-9.1,79,1.149
2026-05-22 04:55:00,-89.7,-98.4,-8.8,80,1.169
2026-05-22 05:00:00,-89.6,-99.0,-9.3,81,1.189
2026-05-22 05:05:00,-89.6,-99.0,-9.3,83,1.209
2026-05-22 05:10:00,-89.7,-98.4,-8.7,84,1.212
2026-05-22 05:15:00,-89.8,-98.4,-8.7,85,1.212
2026-05-22 05:20:00,-89.8,-98.7,-8.9,86,1.212
2026-05-22 05:25:00,-89.9,-98.1,-8.2,88,1.212
2026-05-22 05:30:00,-89.8,-99.0,-9.3,89,1.212
2026-05-22 05:35:00,-89.7,-164.4,-74.7,90,1.122
2026-05-22 05:40:00,-89.8,-163.5,-73.7,91,1.644
2026-05-22 05:45:00,-89.7,-165.3,-75.6,92,2.077
2026-05-22 05:50:00,-89.6,-162.9,-73.2,94,4.154
2026-05-22 05:55:00,-89.7,-198.0,-108.4,95,6.174
2026-05-22 06:00:00,-89.6,-295.8,-205.9,96,9.06
2026-05-22 06:05:00,-89.5,-268.2,-178.8,97,14.025
2026-05-22 06:10:00,0.0,-156.9,-156.9,99,18.726
2026-05-22 06:15:00,0.0,-121.8,-121.8,99,23.281
2026-05-22 06:20:00,0.0,-84.9,-84.9,99,25.878
2026-05-22 06:25:00,0.0,-60.0,-60.0,99,26.518
2026-05-22 06:30:00,0.0,-123.3,-123.3,99,28.538
2026-05-22 06:35:00,0.0,-93.6,-93.6,99,29.34
2026-05-22 06:40:00,0.0,-171.9,-171.9,99,29.773
2026-05-22 06:45:00,0.0,-272.1,-272.1,99,31.57
2026-05-22 06:50:00,0.0,-338.1,-338.1,99,34.456
2026-05-22 06:55:00,0.0,-283.8,-283.8,99,33.234
2026-05-22 07:00:00,0.0,-192.0,-192.0,99,35.467
2026-05-22 07:05:00,0.0,-100.8,-100.8,99,47.932
2026-05-22 07:10:00,0.0,-86.1,-86.1,99,67.196
2026-05-22 07:15:00,0.0,-129.9,-129.9,99,73.118
2026-05-22 07:20:00,0.0,-101.4,-101.4,99,79.754
2026-05-22 07:25:00,0.0,-180.6,-180.6,99,83.649
2026-05-22 07:30:00,0.0,-184.5,-184.5,99,82.419
2026-05-22 07:35:00,0.0,-232.5,-232.5,99,78.309
2026-05-22 07:40:00,0.0,-165.0,-165.0,99,79.111
2026-05-22 07:45:00,0.0,-143.4,-143.4,99,92.824
2026-05-22 07:50:00,0.0,-134.4,-134.4,99,101.175
2026-05-22 07:55:00,0.0,-127.2,-127.2,99,98.345
2026-05-22 08:00:00,80.7,-60.9,-148.5,99,94.683
2026-05-22 08:05:00,220.5,-9.9,-230.6,96,96.35
2026-05-22 08:10:00,216.5,-11.4,-227.4,92,95.1
2026-05-22 08:15:00,249.3,-25.8,-275.1,88,84.217
2026-05-22 08:20:00,249.6,-29.1,-278.7,85,95.05
2026-05-22 08:25:00,186.3,-8.4,-194.8,82,137.488
2026-05-22 08:30:00,218.4,-10.2,-229.6,79,211.212
2026-05-22 08:35:00,211.7,-2.4,-214.1,75,191.544
2026-05-22 08:40:00,132.3,-15.0,-147.2,73,203.916
2026-05-22 08:45:00,-1.5,0.0,1.5,71,280.934
2026-05-22 08:50:00,-20.2,-16.5,3.6,71,205.489
2026-05-22 08:55:00,-154.6,-10.2,144.5,73,241.12
2026-05-22 09:00:00,-207.3,-24.6,182.5,74,337.027
2026-05-22 09:05:00,-2.7,-8.7,-5.8,77,268.33
2026-05-22 09:10:00,52.2,-13.5,-66.0,76,295.709
2026-05-22 09:15:00,145.1,-2.7,-147.9,75,236.125
2026-05-22 09:20:00,204.0,-18.9,-222.5,72,215.628
2026-05-22 09:25:00,204.4,-1.8,-206.4,69,200.623
2026-05-22 09:30:00,133.4,-7.8,-142.0,67,201.137
2026-05-22 09:35:00,73.4,-16.8,-90.0,66,199.074
2026-05-22 09:40:00,38.5,-6.9,-45.4,65,191.392
2026-05-22 09:45:00,122.8,-5.7,-128.9,64,188.918
2026-05-22 09:50:00,11.0,-6.3,-17.2,62,271.106
2026-05-22 09:55:00,-24.0,-2.4,21.6,62,265.211
2026-05-22 10:00:00,-2.3,-6.3,-3.9,63,223.443
2026-05-22 10:05:00,-63.3,-28.8,34.5,63,248.287
2026-05-22 10:10:00,-133.1,0.6,133.6,64,264.706
2026-05-22 10:15:00,-259.9,-45.6,214.3,67,331.542
2026-05-22 10:20:00,-103.4,-5.7,97.6,69,221.247
2026-05-22 10:25:00,-142.0,-1.5,140.9,71,203.241
2026-05-22 10:30:00,-117.4,-5.1,112.3,72,174.142
2026-05-22 10:35:00,-93.2,-8.1,85.0,74,152.399
2026-05-22 10:40:00,-95.7,-8.7,87.0,75,146.612
