时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-05-11 00:00:00,-45.0,-51.9,-6.8,3,0.0
2026-05-11 00:05:00,-44.9,-295.2,-250.3,4,0.0
2026-05-11 00:10:00,-44.9,-294.3,-249.4,6,0.0
2026-05-11 00:15:00,-45.0,-294.6,-249.6,7,0.0
2026-05-11 00:20:00,-44.9,-293.4,-248.4,8,0.0
2026-05-11 00:25:00,-44.9,-286.2,-241.3,10,0.0
2026-05-11 00:30:00,-44.9,-339.6,-294.6,11,0.0
2026-05-11 00:35:00,-44.9,-270.3,-225.4,12,0.0
2026-05-11 00:40:00,-44.8,-300.3,-255.3,14,0.0
2026-05-11 00:45:00,-44.8,-303.6,-258.6,15,0.0
2026-05-11 00:50:00,-45.1,-249.9,-204.8,16,0.0
2026-05-11 00:55:00,-45.0,-222.0,-177.0,18,0.0
2026-05-11 01:00:00,-45.0,-189.9,-144.9,19,0.0
2026-05-11 01:05:00,-45.0,-180.6,-135.6,20,0.0
2026-05-11 01:10:00,-45.0,-145.5,-100.5,22,0.0
2026-05-11 01:15:00,-44.9,-114.0,-69.1,23,0.0
2026-05-11 01:20:00,-45.0,-92.1,-47.2,24,0.0
2026-05-11 01:25:00,-44.9,-112.2,-67.4,25,0.0
2026-05-11 01:30:00,-45.0,-76.2,-31.3,26,0.0
2026-05-11 01:35:00,-44.9,-75.6,-30.6,28,0.0
2026-05-11 01:40:00,-45.1,-75.9,-31.0,29,0.0
2026-05-11 01:45:00,-45.0,-77.7,-32.7,30,0.0
2026-05-11 01:50:00,-45.0,-76.5,-31.5,31,0.0
2026-05-11 01:55:00,-45.1,-71.7,-26.8,32,0.0
2026-05-11 02:00:00,-45.0,-131.4,-86.4,34,0.0
2026-05-11 02:05:00,-45.0,-151.8,-106.8,35,0.0
2026-05-11 02:10:00,-45.1,-202.8,-157.7,36,0.0
2026-05-11 02:15:00,-45.0,-229.8,-184.8,37,0.0
2026-05-11 02:20:00,-44.9,-185.7,-140.8,38,0.0
2026-05-11 02:25:00,-45.1,-177.3,-132.3,40,0.0
2026-05-11 02:30:00,-45.0,-157.2,-112.2,41,0.0
2026-05-11 02:35:00,-45.0,-176.4,-131.4,42,0.0
2026-05-11 02:40:00,-44.8,-131.4,-86.4,43,0.0
2026-05-11 02:45:00,-44.9,-137.1,-92.3,44,0.0
2026-05-11 02:50:00,-45.0,-120.6,-75.6,46,0.0
2026-05-11 02:55:00,-44.8,-200.1,-155.3,47,0.0
2026-05-11 03:00:00,-45.1,-188.1,-143.0,48,0.0
2026-05-11 03:05:00,-44.9,-179.7,-134.7,49,0.0
2026-05-11 03:10:00,-44.9,-139.5,-94.6,50,0.0
2026-05-11 03:15:00,-45.0,-141.0,-96.0,52,0.0
2026-05-11 03:20:00,-44.8,-127.8,-83.0,53,0.0
2026-05-11 03:25:00,-45.0,-105.6,-60.8,54,0.0
2026-05-11 03:30:00,-44.9,-79.8,-34.8,55,0.0
2026-05-11 03:35:00,-44.8,-144.0,-99.0,56,0.0
2026-05-11 03:40:00,-44.9,-204.0,-159.0,58,0.0
2026-05-11 03:45:00,-44.9,-175.8,-130.8,59,0.0
2026-05-11 03:50:00,-45.1,-209.1,-164.0,60,0.0
2026-05-11 03:55:00,-45.0,-282.9,-237.9,61,0.0
2026-05-11 04:00:00,-45.0,-280.5,-235.4,62,0.0
2026-05-11 04:05:00,-44.8,-245.1,-200.0,64,0.0
2026-05-11 04:10:00,-45.0,-231.0,-185.9,65,0.0
2026-05-11 04:15:00,-45.0,-193.8,-149.0,66,0.0
2026-05-11 04:20:00,-45.0,-145.8,-101.0,67,0.0
2026-05-11 04:25:00,-45.0,-140.4,-95.5,68,0.0
2026-05-11 04:30:00,-44.8,-72.6,-27.6,70,0.0
2026-05-11 04:35:00,-44.9,-71.7,-26.7,71,0.0
2026-05-11 04:40:00,-45.0,-63.0,-17.9,72,0.0
2026-05-11 04:45:00,-45.0,-64.2,-19.2,73,0.0
2026-05-11 04:50:00,-45.1,-63.3,-18.2,74,0.0
2026-05-11 04:55:00,-44.9,-68.4,-23.5,76,0.0
2026-05-11 05:00:00,-45.0,-59.4,-14.5,77,0.0
2026-05-11 05:05:00,-45.0,-150.6,-105.6,78,0.0
2026-05-11 05:10:00,-45.0,-151.2,-106.1,79,0.0
2026-05-11 05:15:00,-44.9,-59.1,-14.0,80,0.0
2026-05-11 05:20:00,-44.9,-57.9,-12.9,82,0.0
