时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-04-30 00:00:00,-45.2,-5.7,-5.4,3,0.0
2026-04-30 00:05:00,-44.8,-501.9,-457.0,4,0.008
2026-04-30 00:10:00,-45.1,-460.5,-415.5,6,0.017
2026-04-30 00:15:00,-45.0,-558.6,-513.6,7,0.025
2026-04-30 00:20:00,-44.9,-456.9,-412.0,8,0.033
2026-04-30 00:25:00,-44.9,-483.6,-438.8,10,0.042
2026-04-30 00:30:00,-45.1,-392.4,-347.3,11,0.05
2026-04-30 00:35:00,-45.0,-297.3,-252.3,12,0.058
2026-04-30 00:40:00,-44.8,-234.9,-190.1,14,0.067
2026-04-30 00:45:00,-44.8,-421.8,-376.8,15,0.075
2026-04-30 00:50:00,-44.9,-324.9,-280.0,16,0.083
2026-04-30 00:55:00,-44.9,-266.7,-221.8,18,0.092
2026-04-30 01:00:00,-45.0,-171.9,-126.9,19,0.1
2026-04-30 01:05:00,-45.0,-147.0,-102.1,20,0.108
2026-04-30 01:10:00,-45.0,-124.2,-79.1,21,0.117
2026-04-30 01:15:00,-45.0,-98.7,-53.8,22,0.125
2026-04-30 01:20:00,-44.9,-81.9,-37.0,24,0.133
2026-04-30 01:25:00,-45.0,-116.1,-71.2,25,0.142
2026-04-30 01:30:00,-45.0,-104.4,-59.4,26,0.15
2026-04-30 01:35:00,-44.9,-144.0,-99.1,27,0.158
2026-04-30 01:40:00,-45.0,-109.5,-64.6,28,0.167
2026-04-30 01:45:00,-44.9,-100.2,-55.4,30,0.175
2026-04-30 01:50:00,-44.9,-89.1,-44.1,31,0.183
2026-04-30 01:55:00,-45.0,-80.1,-35.0,32,0.192
2026-04-30 02:00:00,-44.9,-125.4,-80.4,33,0.2
2026-04-30 02:05:00,-44.9,-125.4,-80.4,34,0.208
2026-04-30 02:10:00,-44.9,-124.2,-79.2,36,0.217
2026-04-30 02:15:00,-45.0,-114.0,-69.0,37,0.225
2026-04-30 02:20:00,-45.1,-131.1,-86.0,38,0.233
2026-04-30 02:25:00,-44.9,-195.0,-150.0,39,0.242
2026-04-30 02:30:00,-45.0,-211.2,-166.2,40,0.25
2026-04-30 02:35:00,-44.9,-204.3,-159.4,42,0.258
2026-04-30 02:40:00,-44.9,-241.2,-196.3,43,0.267
2026-04-30 02:45:00,-44.8,-228.9,-184.0,44,0.275
2026-04-30 02:50:00,-44.9,-186.3,-141.4,45,0.283
2026-04-30 02:55:00,-45.0,-150.3,-105.3,46,0.292
2026-04-30 03:00:00,-45.0,-125.4,-80.5,48,0.3
2026-04-30 03:05:00,-45.0,-106.2,-61.2,49,0.308
2026-04-30 03:10:00,-44.9,-100.8,-55.9,50,0.317
