时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-06-25 00:00:00,-44.1,-212.1,-210.7,3,0.0
2026-06-25 00:05:00,-89.8,-665.7,-575.9,4,0.0
2026-06-25 00:10:00,-89.7,-663.6,-573.9,6,0.0
2026-06-25 00:15:00,-89.4,-539.1,-449.3,7,0.0
2026-06-25 00:20:00,-89.9,-465.9,-376.0,9,0.0
2026-06-25 00:25:00,-89.9,-423.0,-333.3,10,0.0
2026-06-25 00:30:00,-89.9,-397.2,-307.3,11,0.0
2026-06-25 00:35:00,-90.0,-304.8,-214.8,13,0.0
2026-06-25 00:40:00,-89.6,-253.2,-163.6,14,0.0
2026-06-25 00:45:00,-89.8,-243.9,-154.2,15,0.0
2026-06-25 00:50:00,-89.6,-239.7,-150.1,17,0.0
2026-06-25 00:55:00,-89.8,-238.2,-148.4,18,0.0
2026-06-25 01:00:00,-89.7,-214.2,-124.6,19,0.0
2026-06-25 01:05:00,-89.7,-185.7,-95.9,21,0.0
2026-06-25 01:10:00,-89.7,-162.9,-73.2,22,0.0
2026-06-25 01:15:00,-89.7,-119.1,-29.3,24,0.0
2026-06-25 01:20:00,-89.6,-114.9,-25.3,25,0.0
2026-06-25 01:25:00,-89.9,-141.9,-52.0,26,0.0
2026-06-25 01:30:00,-89.8,-140.1,-50.4,28,0.0
2026-06-25 01:35:00,-89.9,-138.9,-48.9,29,0.0
2026-06-25 01:40:00,-89.8,-137.1,-47.5,30,0.0
2026-06-25 01:45:00,-89.8,-118.8,-29.0,32,0.0
2026-06-25 01:50:00,-89.6,-118.5,-28.9,33,0.0
2026-06-25 01:55:00,-89.6,-162.9,-73.1,34,0.0
2026-06-25 02:00:00,-89.7,-160.8,-71.0,36,0.0
2026-06-25 02:05:00,-89.6,-206.7,-117.1,37,0.0
2026-06-25 02:10:00,-89.7,-205.8,-116.2,38,0.0
2026-06-25 02:15:00,-89.7,-273.9,-184.1,40,0.0
2026-06-25 02:20:00,-89.8,-258.9,-169.3,41,0.0
2026-06-25 02:25:00,-89.4,-243.0,-153.5,42,0.0
2026-06-25 02:30:00,-89.6,-290.7,-201.1,44,0.0
2026-06-25 02:35:00,-89.4,-285.9,-196.2,45,0.0
2026-06-25 02:40:00,-89.8,-263.7,-173.9,46,0.0
2026-06-25 02:45:00,-89.8,-342.6,-252.8,48,0.0
2026-06-25 02:50:00,-89.8,-295.5,-205.7,49,0.0
2026-06-25 02:55:00,-89.6,-359.4,-269.8,50,0.0
