时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-04-21 00:00:00,0.0,-198.9,-195.5,3,0.0
2026-04-21 00:05:00,-44.9,-384.0,-339.1,4,0.007
2026-04-21 00:10:00,-45.0,-550.5,-505.4,6,0.013
2026-04-21 00:15:00,-44.9,-482.7,-437.7,7,0.02
2026-04-21 00:20:00,-44.9,-420.3,-375.4,8,0.027
2026-04-21 00:25:00,-44.9,-322.8,-277.8,10,0.033
2026-04-21 00:30:00,-44.9,-242.7,-197.8,11,0.04
2026-04-21 00:35:00,-44.9,-303.0,-258.0,12,0.047
2026-04-21 00:40:00,-45.0,-254.1,-209.1,14,0.053
2026-04-21 00:45:00,-44.9,-184.8,-139.9,15,0.06
2026-04-21 00:50:00,-44.9,-153.9,-108.9,16,0.067
2026-04-21 00:55:00,-45.0,-119.4,-74.4,18,0.073
2026-04-21 01:00:00,-44.9,-84.3,-39.3,19,0.08
2026-04-21 01:05:00,-45.1,-187.5,-142.4,20,0.087
2026-04-21 01:10:00,-44.9,-256.2,-211.2,21,0.093
2026-04-21 01:15:00,-44.8,-245.4,-200.4,22,0.1
2026-04-21 01:20:00,-44.8,-238.2,-193.1,24,0.107
2026-04-21 01:25:00,-44.9,-168.0,-123.0,25,0.113
2026-04-21 01:30:00,-44.9,-119.1,-74.1,26,0.12
2026-04-21 01:35:00,-44.8,-108.3,-63.4,27,0.127
2026-04-21 01:40:00,-44.8,-79.2,-34.1,28,0.133
2026-04-21 01:45:00,-44.9,-76.8,-31.8,30,0.14
2026-04-21 01:50:00,-44.8,-65.1,-20.1,31,0.147
2026-04-21 01:55:00,-45.0,-174.6,-129.6,32,0.153
2026-04-21 02:00:00,-44.9,-178.5,-133.6,33,0.16
2026-04-21 02:05:00,-44.9,-133.5,-88.6,34,0.167
2026-04-21 02:10:00,-45.0,-121.5,-76.5,36,0.173
2026-04-21 02:15:00,-45.0,-63.6,-18.6,37,0.18
2026-04-21 02:20:00,-45.0,-61.2,-16.3,38,0.187
2026-04-21 02:25:00,-44.8,-60.6,-15.6,39,0.193
2026-04-21 02:30:00,-45.0,-60.9,-15.9,40,0.2
2026-04-21 02:35:00,-45.0,-96.6,-51.6,42,0.207
2026-04-21 02:40:00,-44.8,-90.9,-46.1,43,0.213
2026-04-21 02:45:00,-45.0,-132.9,-87.9,44,0.22
2026-04-21 02:50:00,-44.8,-132.0,-87.0,45,0.227
2026-04-21 02:55:00,-45.0,-131.4,-86.4,46,0.233
2026-04-21 03:00:00,-44.9,-129.3,-84.4,48,0.24
2026-04-21 03:05:00,-44.9,-122.1,-77.1,49,0.247
2026-04-21 03:10:00,-45.0,-241.5,-196.6,50,0.253
2026-04-21 03:15:00,-45.0,-216.3,-171.5,51,0.26
2026-04-21 03:20:00,-45.0,-150.3,-105.3,52,0.267
2026-04-21 03:25:00,-44.9,-125.7,-80.8,54,0.273
2026-04-21 03:30:00,-44.9,-100.5,-55.4,55,0.28
2026-04-21 03:35:00,-44.8,-91.5,-46.5,56,0.287
2026-04-21 03:40:00,-45.0,-87.3,-42.3,57,0.293
2026-04-21 03:45:00,-44.9,-79.2,-34.3,58,0.3
2026-04-21 03:50:00,-44.9,-71.1,-26.2,60,0.307
2026-04-21 03:55:00,-44.9,-158.4,-113.5,61,0.313
2026-04-21 04:00:00,-44.9,-150.0,-105.1,62,0.32
2026-04-21 04:05:00,-44.9,-119.1,-74.2,63,0.327
2026-04-21 04:10:00,-45.0,-118.5,-73.5,64,0.333
2026-04-21 04:15:00,-44.8,-117.9,-73.0,66,0.34
2026-04-21 04:20:00,-44.9,-90.0,-45.1,67,0.347
2026-04-21 04:25:00,-44.9,-93.9,-49.0,68,0.353
2026-04-21 04:30:00,-45.0,-92.7,-47.8,69,0.36
2026-04-21 04:35:00,-45.0,-72.3,-27.3,70,0.367
2026-04-21 04:40:00,-45.0,-55.8,-10.7,72,0.373
2026-04-21 04:45:00,-45.1,-50.7,-5.6,73,0.38
2026-04-21 04:50:00,-44.9,-50.1,-5.2,74,0.387
2026-04-21 04:55:00,-45.0,-50.4,-5.3,75,0.393
2026-04-21 05:00:00,-44.9,-50.7,-5.8,76,0.4
2026-04-21 05:05:00,-44.9,-51.0,-6.1,78,0.407
2026-04-21 05:10:00,-44.9,-55.5,-10.6,79,0.413
2026-04-21 05:15:00,-45.0,-53.4,-8.5,80,0.42
2026-04-21 05:20:00,-44.8,-53.4,-8.5,81,0.427
2026-04-21 05:25:00,-45.0,-52.5,-7.5,82,0.598
2026-04-21 05:30:00,-45.0,-160.8,-115.8,84,0.433
2026-04-21 05:35:00,-45.0,-161.4,-116.4,85,0.719
2026-04-21 05:40:00,-44.9,-104.4,-59.4,86,0.6
2026-04-21 05:45:00,-45.0,-105.3,-60.3,87,0.48
2026-04-21 05:50:00,-45.0,-52.2,-7.2,88,0.505
2026-04-21 05:55:00,-44.9,-56.1,-11.2,89,0.433
2026-04-21 06:00:00,-45.0,-55.2,-10.1,91,1.154
2026-04-21 06:05:00,-44.9,-53.7,-8.7,92,1.876
2026-04-21 06:10:00,-44.9,-51.9,-7.1,93,2.237
2026-04-21 06:15:00,0.0,-102.9,-102.9,98,2.649
2026-04-21 06:20:00,0.0,-59.1,-59.1,98,4.986
2026-04-21 06:25:00,0.0,-87.3,-87.3,98,7.806
2026-04-21 06:30:00,0.0,-75.6,-75.6,98,13.166
2026-04-21 06:35:00,0.0,-104.7,-104.7,98,19.486
2026-04-21 06:40:00,0.0,-93.6,-93.6,98,25.488
2026-04-21 06:45:00,0.0,-70.5,-70.5,98,34.815
2026-04-21 06:50:00,0.0,-47.7,-47.7,98,41.133
2026-04-21 06:55:00,0.0,-87.3,-87.3,98,38.679
2026-04-21 07:00:00,0.0,-70.8,-70.8,98,39.033
2026-04-21 07:05:00,0.0,-38.4,-38.4,98,36.147
2026-04-21 07:10:00,0.0,-18.6,-18.6,98,37.948
2026-04-21 07:15:00,0.0,-5.1,-5.1,98,47.509
2026-04-21 07:20:00,0.0,15.6,15.6,98,56.89
2026-04-21 07:25:00,0.0,69.0,69.0,98,82.328
